"trait","signalM","pM","pMadj","signalC","pC","pCadj","signalL","pL","pLadj","signalK","pK","pKadj","signalZ","pZ","pZadj"
"nicheSize",0.171188491795171,1e-04,0.001,0.172586081954231,1e-04,0.001,0.290670841409544,1.78516395262299e-12,1.78516395262299e-11,0.133724947227999,0.124512451245125,0.415041504150417,8.4702472300699,9.9999999999989e-05,0.000249999999999972
"nicheDensity",0.118858266262672,2e-04,0.001,0.119888895892396,2e-04,0.001,0.213486352565314,7.45488374604602e-08,3.72744187302301e-07,0.125580130329663,0.173117311731174,0.415241524152417,6.56697746107373,9.9999999999989e-05,0.000249999999999972
"rangeSize0",0.10517056352489,0.0071,0.01775,0.109886060963803,0.0098,0.0245,0.0888409632471565,9.2029813576605e-05,0.000279210927203578,0.203269878218487,0.0763076307630766,0.381538153815383,4.42397114391395,9.9999999999989e-05,0.000249999999999972
"rangeSize100",0.104574757079663,0.007,0.01775,0.109281416923538,0.0092,0.0245,0.0888092177661365,0.000111684370881431,0.000279210927203578,0.203537022818866,0.0682068206820684,0.381538153815383,4.38952730074253,9.9999999999989e-05,0.000249999999999972
"rangeChange0_SSP1",0.00288872432633741,0.4374,0.4374,0.00499951281941005,0.428,0.428,0.00185602663206669,0.901114589117873,0.901114589117873,0.0991902086376239,0.439543954395389,0.691354849770601,0.812150115537228,0.2044,0.2044
"rangeChange0_SSP3",0.00927664161341158,0.3524,0.4374,0.0111650013229851,0.3518,0.428,0.0227667823288244,0.181227412396992,0.302045687328321,0.0742187237089376,0.789978997899804,0.789978997899804,2.00068970556695,0.0246,0.0409999999999999
"rangeChange0_SSP5",0.00333279423551547,0.4209,0.4374,0.00514526787695776,0.4263,0.428,0.0299304020191664,0.118185823463818,0.236371646927636,0.0779424963848407,0.735773577357735,0.789978997899804,2.20506353920299,0.016,0.032
"rangeChange100_SSP1",0.0224537581626114,0.2186,0.364333333333333,0.0243174201074017,0.2072,0.345333333333333,0.0285747513363475,0.327580269481002,0.363978077201113,0.12664247443303,0.207620762076208,0.415241524152417,1.62300297385584,0.0563,0.0625555555555556
"rangeChange100_SSP3",0.031461557939355,0.1479,0.2958,0.0331457178086585,0.1443,0.2886,0.0307083894950177,0.251377184173877,0.320287788289482,0.10096336555884,0.483948394839421,0.691354849770601,1.77417921781272,0.0411,0.0536250000000001
"rangeChange100_SSP5",0.0155862785440934,0.2844,0.406285714285714,0.0172516139345619,0.2812,0.401714285714286,0.030726915370847,0.256230230631586,0.320287788289482,0.0929005715053013,0.57635763576353,0.720447044704413,1.76452411732385,0.0429,0.0536250000000001
